Age,Gender,Major,Distance (km),Mode of Transportation,Traffic,Commute Time (min)
25,Male,CSE,11,Bus,High,200
25,Male,CSE,2,Walk,Low,20
25,Male,CSE,4,Bus,Medium,120
24,Female,CSE,4.3,Bus,High,120
25,Male,CSE,6,Bus,Medium,65
25,Male,CSE,9,Bus,Medium,90
25,Male,CSE,4,Bus,High,100
25,Male,CSE,16,Bus,High,220
25,Male,CSE,6,Bus,High,1
24,Male,CSE,2,Rickshaw,Medium,35
25,Male,CSE,5,Bus,Medium,60
25,Male,CSE,10,Car,High,75
25,Male,CSE,3,Bus,Medium,40
25,Male,EEE,6,Bike,High,90
27,Male,CSE,15,Bus,Medium,180
23,Male,CSE,11,Car,High,90
25,Male,CSE,7,Bus,High,200
26,Male,CSE,8.5,Bus,Medium,150
26,Male,CSE,5,Bus,High,4
23,Male,CS,5,Bus,Medium,60
25,Male,CSE,6,Bus,High,110
24,Female,CSE,3,Walk,Medium,25
25,Male,CSE,4,Bus,Low,80
25,Male,CSE,12,Bus,Medium,150
25,Male,CSE,5.5,Bike,High,100
26,Male,CSE,9,Car,Medium,120
27,Male,EEE,7,Bus,Medium,180
24,Male,CSE,3.5,Rickshaw,Medium,45
25,Male,CSE,10.5,Car,High,95
23,Female,CSE,8,Bus,Medium,130
28,Male,,12.1,Bus,High,181.5
20,Female,EEE,4,Bus,High,60
21,Female,CSE,10.2,Car,Medium,102
30,Male,Business,7.8,Bus,Medium,93.6
19,Male,EEE,12.9,Car,Low,90.3
26,Female,EEE,11.6,Bus,Medium,139.2
24,Male,Business,7.6,Bus,Low,53.2
18,Female,CSE,9.2,Car,Medium,92
18,Female,Engineering,7.9,Car,High,110.6
20,Female,EEE,9.8,Bus,Medium,117.6
28,Female,CSE,4.9,Bus,Medium,58.8
26,Male,EEE,11.7,Car,Low,81.9
29,Female,CSE,0.6,Walk,Low,6
19,Female,Business,4.9,Car,Low,34.3
22,Male,CSE,6.3,Car,Low,44.1
27,Female,CSE,6.3,Bus,Medium,75.6
23,Male,Business,9.7,Bus,Low,77.6
28,Male,EEE,2.6,Bus,Medium,31.2
22,Male,EEE,5,Car,High,70
25,Female,CSE,3.4,Car,Low,23.8
29,Female,EEE,9.2,Car,Medium,92
21,Female,CSE,1.4,Walk,Low,14
26,Male,CSE,6,Bus,Medium,72
27,Female,EEE,8.4,Car,High,117.6
25,Female,EEE,10.1,Bus,Low,80.8
28,Male,CSE,1.6,Walk,Low,16
29,Male,CSE,6.9,Car,High,96.6
28,Female,CSE,13,Bus,High,195
28,Female,Business,10.8,Bus,Medium,129.6
27,Male,CSE,7.6,Bus,Medium,91.2
28,Male,EEE,2.8,Car,Low,19.6
19,Female,Engineering,1.8,Rickshaw,Medium,27
19,Female,Business,0.6,Walk,Low,6
26,Female,EEE,4.8,Bus,High,72
